model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
q4b,high_acc,m3id,sequence,0.8,0.8014184397163121,0.7533333333333333,0.084070796460177,0.11061946902654868
q4b,high_acc,m3id,sequence,1.0,1.0,0.94,0.1099290780141844,0.12234042553191489
q4b,high_acc,dola,sequence,0.2,0.20035460992907803,0.18833333333333332,0.02654867256637168,0.01639344262295082
q4b,high_acc,dola,sequence,0.4,0.40070921985815605,0.37666666666666665,0.048672566371681415,0.05309734513274336
q4b,high_acc,dola,sequence,0.6,0.601063829787234,0.565,0.06489675516224189,0.08259587020648967
q4b,high_acc,dola,sequence,0.8,0.8014184397163121,0.7533333333333333,0.084070796460177,0.09292035398230089
q4b,high_acc,dola,sequence,1.0,1.0,0.94,0.1099290780141844,0.10815602836879433
q4b,high_acc,deco,sequence,0.2,0.20035460992907803,0.18833333333333332,0.02654867256637168,0.13274336283185842
q4b,high_acc,deco,sequence,0.4,0.40070921985815605,0.37666666666666665,0.048672566371681415,0.12831858407079647
q4b,high_acc,deco,sequence,0.6,0.601063829787234,0.565,0.06489675516224189,0.12979351032448377
q4b,high_acc,deco,sequence,0.8,0.8014184397163121,0.7533333333333333,0.084070796460177,0.1172566371681416
q4b,high_acc,deco,sequence,1.0,1.0,0.94,0.1099290780141844,0.1347517730496454
q4b,low_acc,vcd,first,0.2,0.2011173184357542,0.18,0.8796296296296297,0.7685185185185185
q4b,low_acc,vcd,first,0.4,0.40037243947858475,0.35833333333333334,0.8744186046511628,0.7546511627906977
q4b,low_acc,vcd,first,0.6,0.6014897579143389,0.5383333333333333,0.8699690402476781,0.7492260061919505
q4b,low_acc,vcd,first,0.8,0.8007448789571695,0.7166666666666667,0.8395348837209302,0.7534883720930232
q4b,low_acc,vcd,first,1.0,1.0,0.895,0.8212290502793296,0.7579143389199255
q4b,low_acc,m3id,first,0.2,0.2011173184357542,0.18,0.8796296296296297,0.5833333333333334
q4b,low_acc,m3id,first,0.4,0.40037243947858475,0.35833333333333334,0.8744186046511628,0.7116279069767442
q4b,low_acc,m3id,first,0.6,0.6014897579143389,0.5383333333333333,0.8699690402476781,0.7647058823529411
q4b,low_acc,m3id,first,0.8,0.8007448789571695,0.7166666666666667,0.8395348837209302,0.786046511627907
q4b,low_acc,m3id,first,1.0,1.0,0.895,0.8212290502793296,0.7914338919925512
q4b,low_acc,dola,first,0.2,0.2011173184357542,0.18,0.8796296296296297,0.8611111111111112
q4b,low_acc,dola,first,0.4,0.40037243947858475,0.35833333333333334,0.8744186046511628,0.8697674418604651
q4b,low_acc,dola,first,0.6,0.6014897579143389,0.5383333333333333,0.8699690402476781,0.8699690402476781
q4b,low_acc,dola,first,0.8,0.8007448789571695,0.7166666666666667,0.8395348837209302,0.8465116279069768
q4b,low_acc,dola,first,1.0,1.0,0.895,0.8212290502793296,0.8249534450651769
q4b,low_acc,deco,first,0.2,0.2011173184357542,0.18,0.8796296296296297,0.9351851851851852
q4b,low_acc,deco,first,0.4,0.40037243947858475,0.35833333333333334,0.8744186046511628,0.9162790697674419
q4b,low_acc,deco,first,0.6,0.6014897579143389,0.5383333333333333,0.8699690402476781,0.8854489164086687
q4b,low_acc,deco,first,0.8,0.8007448789571695,0.7166666666666667,0.8395348837209302,0.8651162790697674
q4b,low_acc,deco,first,1.0,1.0,0.895,0.8212290502793296,0.839851024208566
q4b,high_acc,vcd,first,0.2,0.20035460992907803,0.18833333333333332,0.008849557522123894,0.03428571428571429
q4b,high_acc,vcd,first,0.4,0.40070921985815605,0.37666666666666665,0.03982300884955752,0.0752212389380531
q4b,high_acc,vcd,first,0.6,0.601063829787234,0.565,0.0471976401179941,0.07937784928935372
q4b,high_acc,vcd,first,0.8,0.8014184397163121,0.7533333333333333,0.06637168141592921,0.09734513274336283
q4b,high_acc,vcd,first,1.0,1.0,0.94,0.1099290780141844,0.12588652482269502
q4b,high_acc,m3id,first,0.2,0.20035460992907803,0.18833333333333332,0.008849557522123894,0.08849557522123894
q4b,high_acc,m3id,first,0.4,0.40070921985815605,0.37666666666666665,0.03982300884955752,0.09734513274336283
q4b,high_acc,m3id,first,0.6,0.601063829787234,0.565,0.0471976401179941,0.0855457227138643
q4b,high_acc,m3id,first,0.8,0.8014184397163121,0.7533333333333333,0.06637168141592921,0.09513274336283185
q4b,high_acc,m3id,first,1.0,1.0,0.94,0.1099290780141844,0.12234042553191489
