model,stratum,method,score_kind,n,corrected_n,induced_n,acc_direct,acc_method,delta_accuracy,correction_rate,induced_error_rate,delta_accuracy_lo,delta_accuracy_hi,n_common_answers,risk80_direct,risk80_method,delta_risk80,delta_risk80_lo,delta_risk80_hi,decision
internvl4b,low_acc,m3id,sequence,600,3,3,0.025,0.025,0.0,0.005128205128205128,0.2,-0.006666666666666667,0.006666666666666667,597,0.9769874476987448,0.9769874476987448,0.0,-0.014705882352941128,0.016701461377870545,no_confirmed_harm_at_primary_budget
internvl4b,low_acc,dola,sequence,600,17,10,0.025,0.03666666666666667,0.011666666666666667,0.02905982905982906,0.6666666666666666,-0.005,0.03333333333333333,597,0.9769874476987448,0.9623430962343096,-0.014644351464435212,-0.04384133611691021,0.006249999999999978,no_confirmed_harm_at_primary_budget
internvl4b,low_acc,deco,sequence,600,0,0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,597,0.9769874476987448,0.9769874476987448,0.0,0.0,0.004192872117400381,no_confirmed_harm_at_primary_budget
internvl4b,high_acc,vcd,sequence,600,18,26,0.8516666666666667,0.8383333333333334,-0.013333333333333334,0.20224719101123595,0.050880626223091974,-0.03666666666666667,0.011666666666666667,599,0.07708333333333334,0.09375,0.016666666666666663,-0.009439286959553692,0.04166666666666667,no_confirmed_harm_at_primary_budget
internvl4b,high_acc,m3id,sequence,600,10,5,0.8516666666666667,0.86,0.008333333333333333,0.11235955056179775,0.009784735812133072,-0.006666666666666667,0.023333333333333334,599,0.07708333333333334,0.07916666666666666,0.002083333333333326,-0.010416666666666671,0.02708333333333334,no_confirmed_harm_at_primary_budget
internvl4b,high_acc,dola,sequence,600,18,116,0.8516666666666667,0.6883333333333334,-0.16333333333333333,0.20224719101123595,0.22700587084148727,-0.22333333333333333,-0.105,599,0.07708333333333334,0.25,0.17291666666666666,0.11666666666666667,0.24166666666666664,higher_fixed_coverage_risk
internvl4b,high_acc,deco,sequence,600,5,6,0.8516666666666667,0.85,-0.0016666666666666668,0.056179775280898875,0.011741682974559686,-0.016666666666666666,0.016666666666666666,599,0.07708333333333334,0.06458333333333334,-0.012499999999999997,-0.024999999999999994,0.0167372788435392,no_confirmed_harm_at_primary_budget
internvl4b,low_acc,vcd,first,600,12,6,0.025,0.035,0.01,0.020512820512820513,0.4,0.0016666666666666668,0.02,597,0.9728033472803347,0.9665271966527197,-0.006276150627614996,-0.016667536534446813,0.0020876826722338038,no_confirmed_harm_at_primary_budget
internvl4b,low_acc,m3id,first,600,3,3,0.025,0.025,0.0,0.005128205128205128,0.2,-0.006666666666666667,0.006666666666666667,597,0.9728033472803347,0.9728033472803347,0.0,-0.008438818565400744,0.010416666666666633,no_confirmed_harm_at_primary_budget
internvl4b,low_acc,dola,first,600,17,10,0.025,0.03666666666666667,0.011666666666666667,0.02905982905982906,0.6666666666666666,-0.005,0.03333333333333333,597,0.9728033472803347,0.9623430962343096,-0.010460251046025104,-0.03541666666666665,0.01041666666666663,no_confirmed_harm_at_primary_budget
internvl4b,low_acc,deco,first,600,0,0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,597,0.9728033472803347,0.9728033472803347,0.0,-0.004166666666666652,0.0,no_confirmed_harm_at_primary_budget
internvl4b,high_acc,vcd,first,600,18,26,0.8516666666666667,0.8383333333333334,-0.013333333333333334,0.20224719101123595,0.050880626223091974,-0.03666666666666667,0.011666666666666667,599,0.0625,0.09166666666666666,0.02916666666666666,0.004166666666666666,0.05416666666666666,higher_fixed_coverage_risk
internvl4b,high_acc,m3id,first,600,10,5,0.8516666666666667,0.86,0.008333333333333333,0.11235955056179775,0.009784735812133072,-0.006666666666666667,0.023333333333333334,599,0.0625,0.08958333333333333,0.027083333333333334,0.008333333333333331,0.03541666666666667,higher_fixed_coverage_risk
internvl4b,high_acc,dola,first,600,18,116,0.8516666666666667,0.6883333333333334,-0.16333333333333333,0.20224719101123595,0.22700587084148727,-0.22333333333333333,-0.105,599,0.0625,0.26666666666666666,0.20416666666666666,0.13333333333333333,0.275,higher_fixed_coverage_risk
internvl4b,high_acc,deco,first,600,5,6,0.8516666666666667,0.85,-0.0016666666666666668,0.056179775280898875,0.011741682974559686,-0.016666666666666666,0.016666666666666666,599,0.0625,0.075,0.012499999999999997,-0.008333333333333331,0.02505219206680584,no_confirmed_harm_at_primary_budget
